Input,Output
Directing data packets between networks,5
Connecting multiple networks and routing data,5
Determining the best path for data transmission,5
Routing traffic between different IP networks,5
Facilitating communication between devices in different networks,5
Routing within a local network,3
Splitting internet connection among devices,3
Connecting multiple devices to the internet,3
Managing network traffic in a single LAN,3
Acting as a Wi-Fi access point,3
Storing files like a server,0
Encrypting all data packets,0
Acting as a firewall,0
Assigning IP addresses,0
Sending emails between users,0
Filtering websites for users,0
Printing documents over a network,0
Hacking other devices,0
Disabling network connections,0
Monitoring bandwidth usage,0
